,1. open,2. high,3. low,4. close,5. volume,ticker
2023-08-04,2527.9,2559.0,2458.0,2510.15,2720930.0,RELIANCE.BSE
2023-07-28,2484.0,2547.25,2469.55,2527.6,2613216.0,RELIANCE.BSE
2023-07-21,2490.4058,2632.0,2473.9494,2536.2,5796174.0,RELIANCE.BSE
2023-07-14,2435.3697,2540.7271,2423.3561,2483.3336,5448182.0,RELIANCE.BSE
2023-07-07,2314.9613,2416.3292,2314.9613,2389.5365,3929964.0,RELIANCE.BSE
2023-06-30,2270.3521,2318.1347,2254.3944,2312.6945,1616298.0,RELIANCE.BSE
2023-06-23,2341.2553,2342.8873,2276.7896,2280.5524,1666502.0,RELIANCE.BSE
2023-06-16,2246.7782,2340.1673,2235.0819,2335.0898,1825600.0,RELIANCE.BSE
2023-06-09,2235.0819,2281.2324,2228.735,2250.3143,1504086.0,RELIANCE.BSE
2023-06-02,2283.9525,2300.6809,2222.3429,2225.879,2218456.0,RELIANCE.BSE
2023-05-26,2203.257,2275.7923,2190.2914,2272.6642,1666534.0,RELIANCE.BSE
2023-05-19,2254.0317,2270.1254,2193.7821,2214.8627,841854.0,RELIANCE.BSE
2023-05-12,2222.2522,2274.8856,2216.7214,2252.309,834352.0,RELIANCE.BSE
2023-05-05,2212.3239,2231.9991,2188.1607,2213.5026,810312.0,RELIANCE.BSE
2023-04-28,2144.3222,2197.8169,2129.5431,2194.3715,1944784.0,RELIANCE.BSE
2023-04-21,2189.6567,2189.6567,2108.9613,2129.7245,1563810.0,RELIANCE.BSE
2023-04-13,2127.0951,2147.2689,2105.2438,2135.8446,1217674.0,RELIANCE.BSE
2023-04-06,2126.279,2134.8019,2093.0942,2122.5616,1233714.0,RELIANCE.BSE
2023-03-31,2008.772,2124.375,1995.1717,2113.5401,2410728.0,RELIANCE.BSE
2023-03-24,2015.5722,2077.4991,1976.5845,1997.8917,2569746.0,RELIANCE.BSE
2023-03-17,2110.7746,2125.2817,1996.8037,2015.6175,3406088.0,RELIANCE.BSE
2023-03-10,2171.5229,2198.2702,2099.169,2106.3772,1811108.0,RELIANCE.BSE
2023-03-03,2156.6532,2169.7095,2098.761,2162.5013,2176668.0,RELIANCE.BSE
2023-02-24,2212.6866,2220.8922,2141.1488,2163.1813,2386640.0,RELIANCE.BSE
2023-02-17,2119.4789,2233.1778,2098.1263,2212.1879,1910050.0,RELIANCE.BSE
2023-02-10,2108.0546,2149.581,2079.1312,2118.3455,1832754.0,RELIANCE.BSE
2023-02-03,2119.6149,2163.4533,2079.2218,2111.7267,4638288.0,RELIANCE.BSE
